loan_amount,rate_of_interest,Upfront_charges,term,property_value,Credit_Score,income,open_credit,Neg_ammortization,interest_only,lump_sum_payment,age,Region,business_or_commercial,occupancy_type,Secured_by,Status
466500,3.625,16304.0,360.0,938000.0,757,4080.0,0,0,0,0,5,0,0,0,0,0
526500,4.5,0.0,360.0,718000.0,828,11100.0,0,0,0,0,1,0,0,0,0,0
376500,3.99,2596.45,360.0,428000.0,806,6000.0,0,0,1,0,4,0,0,0,0,1
286500,3.99,2596.45,360.0,368000.0,895,11220.0,0,0,0,0,5,1,0,0,0,1
426500,4.875,1703.6,360.0,568000.0,620,19980.0,0,0,0,0,5,1,0,2,0,0
266500,4.75,815.78,360.0,388000.0,654,6780.0,0,1,0,0,5,1,0,2,0,0
276500,4.25,5212.88,360.0,368000.0,563,8580.0,0,0,0,0,5,1,0,2,0,0
156500,3.99,2596.45,360.0,258000.0,654,3600.0,0,0,0,0,2,0,0,0,0,1
176500,4.56,4789.9,360.0,278000.0,672,2160.0,0,0,0,0,4,1,0,0,0,0
316500,3.99,2596.45,360.0,328000.0,724,5760.0,0,1,0,0,3,2,0,0,0,1
256500,3.625,182.66,360.0,268000.0,862,3000.0,0,0,0,0,2,1,1,0,0,0
316500,4.25,624.2,360.0,328000.0,732,7080.0,0,0,0,0,2,1,0,0,0,0
266500,4.125,1004.08,360.0,258000.0,569,6840.0,0,0,0,0,4,1,0,0,0,0
326500,3.99,2596.45,360.0,418000.0,831,5280.0,0,0,0,0,2,1,0,0,0,1
296500,3.99,2596.45,360.0,318000.0,586,9660.0,0,1,0,0,5,0,0,0,0,1
226500,3.99,2596.45,360.0,288000.0,782,3780.0,0,0,0,0,1,0,0,0,0,1
286500,3.625,5585.0,360.0,368000.0,736,9360.0,0,0,0,0,4,0,0,0,0,0
336500,3.99,2596.45,360.0,458000.0,644,3720.0,0,0,0,0,4,0,0,0,0,1
426500,3.625,777.66,240.0,1068000.0,616,13920.0,0,0,0,0,3,1,0,0,0,0
666500,3.25,0.0,360.0,688000.0,805,5760.0,0,0,0,0,4,1,0,0,0,0
276500,3.625,0.0,360.0,278000.0,761,5760.0,0,0,0,0,1,1,0,0,0,0
276500,3.875,750.0,360.0,358000.0,684,5400.0,0,0,0,0,1,0,0,0,0,0
476500,4.18,0.0,360.0,908000.0,766,7440.0,0,0,0,0,3,0,0,0,0,0
326500,4.0,3141.07,360.0,468000.0,889,5220.0,0,0,0,0,2,1,0,0,0,0
266500,3.99,626.5,360.0,308000.0,664,5100.0,0,0,1,0,2,0,1,0,0,0
186500,3.5,4125.0,360.0,368000.0,527,2880.0,0,0,1,0,4,0,0,0,0,0
386500,4.875,952.93,360.0,368000.0,746,4860.0,0,0,0,0,2,1,0,0,0,0
496500,3.99,8536.25,360.0,698000.0,640,16620.0,0,0,0,0,3,1,0,0,0,0
196500,3.875,3816.64,360.0,228000.0,813,2940.0,0,0,1,0,6,1,0,0,0,0
216500,4.25,295.0,360.0,238000.0,872,4440.0,0,0,0,0,5,1,0,0,0,0
176500,4.56,3340.0,360.0,218000.0,694,2820.0,0,0,0,0,5,0,0,0,0,0
256500,4.25,1282.0,180.0,298000.0,892,4020.0,0,0,0,0,3,0,1,0,0,0
296500,3.375,396.01,360.0,288000.0,898,6420.0,0,0,0,0,3,0,0,0,0,0
206500,4.375,5463.75,180.0,458000.0,517,8160.0,0,0,1,0,3,0,0,2,0,0
556500,3.75,10187.5,360.0,868000.0,513,10560.0,0,0,0,0,4,0,0,0,0,0
466500,3.99,2596.45,360.0,418000.0,634,7020.0,0,0,0,0,3,1,0,0,0,1
486500,3.875,0.0,360.0,858000.0,757,8400.0,0,0,1,0,5,1,0,0,0,0
446500,4.375,3526.25,360.0,1458000.0,537,6780.0,0,0,0,0,5,3,0,0,0,0
186500,4.5,5715.0,360.0,238000.0,765,3720.0,0,0,0,0,1,0,0,0,0,0
1166500,3.5,12900.0,360.0,2758000.0,671,19080.0,0,0,0,0,4,1,0,0,0,0
186500,3.99,2797.5,360.0,508000.0,814,3300.0,0,0,0,0,5,0,0,0,0,0
456500,3.99,2596.45,360.0,418000.0,616,10560.0,0,1,0,0,5,0,0,0,0,1
406500,4.0,0.0,360.0,468000.0,608,5280.0,0,0,0,0,1,1,0,0,0,0
356500,4.18,8170.0,360.0,398000.0,551,12300.0,0,0,0,0,3,1,0,0,0,0
86500,5.25,2557.0,360.0,138000.0,719,4440.0,0,0,0,0,2,1,0,0,0,0
156500,4.375,2333.5,240.0,268000.0,708,4380.0,0,0,0,0,4,1,0,0,0,0
156500,3.25,6234.38,120.0,288000.0,875,20340.0,0,0,0,0,5,1,0,0,0,0
426500,3.99,0.0,120.0,2508000.0,735,10560.0,0,0,0,0,5,1,0,0,0,0
326500,2.75,3250.0,360.0,388000.0,687,6720.0,0,0,0,0,5,1,0,0,0,0
246500,4.5,5100.0,360.0,308000.0,795,2580.0,0,0,0,0,6,1,0,0,0,0
186500,3.125,3997.43,144.0,268000.0,836,6000.0,0,0,0,0,3,0,0,0,0,0
696500,3.99,2596.45,360.0,418000.0,752,22200.0,0,0,0,0,2,1,0,0,0,1
606500,3.625,0.0,360.0,618000.0,707,5760.0,0,0,0,0,3,0,1,0,0,0
186500,3.99,2596.45,324.0,418000.0,871,3840.0,0,0,0,1,2,2,0,0,0,1
756500,3.99,1295.0,360.0,1048000.0,627,14520.0,0,0,0,0,1,1,0,0,0,0
86500,3.99,2596.45,360.0,78000.0,614,5760.0,0,0,1,0,5,2,0,0,0,1
156500,3.875,5199.38,360.0,308000.0,654,1560.0,0,0,0,0,5,1,0,0,0,0
346500,2.875,7357.0,180.0,628000.0,886,11640.0,0,0,0,0,2,1,0,0,0,0
296500,4.5,0.0,360.0,378000.0,550,10020.0,0,0,0,0,2,1,0,0,0,0
336500,3.99,2596.45,240.0,768000.0,532,12360.0,0,0,0,0,3,0,0,0,0,1
406500,4.18,0.0,360.0,558000.0,800,7200.0,0,0,0,0,3,1,0,0,0,0
486500,3.875,0.0,360.0,968000.0,655,5760.0,0,0,1,0,3,1,0,0,0,0
146500,4.25,4541.36,360.0,598000.0,519,1800.0,0,0,0,0,4,0,0,0,0,0
196500,3.99,2596.45,300.0,418000.0,817,2580.0,0,1,0,0,5,0,0,0,0,1
46500,3.99,2596.45,360.0,418000.0,672,2280.0,0,0,0,0,4,0,1,0,0,1
236500,3.99,4448.14,300.0,378000.0,827,5340.0,0,1,0,0,4,1,0,0,0,0
326500,4.875,0.0,360.0,338000.0,822,7320.0,0,1,0,0,1,0,0,0,0,0
636500,4.5,0.0,360.0,848000.0,657,27660.0,0,0,0,0,5,1,0,0,0,0
136500,3.99,2596.45,180.0,388000.0,713,4740.0,0,0,0,0,3,0,0,0,0,1
356500,3.375,13160.29,360.0,408000.0,857,4140.0,0,1,0,0,4,1,0,0,0,0
386500,4.25,0.0,360.0,508000.0,787,6600.0,0,0,0,0,2,1,0,0,0,0
336500,4.49,825.5,360.0,398000.0,640,4440.0,0,0,0,0,4,0,1,0,0,0
266500,4.125,100.0,360.0,318000.0,857,5880.0,0,0,0,0,3,2,0,0,0,0
676500,4.5,0.0,360.0,718000.0,700,12600.0,0,0,0,0,3,1,0,0,0,0
186500,3.99,2967.25,180.0,398000.0,889,2760.0,0,0,0,0,5,0,0,0,0,0
226500,3.99,2596.45,360.0,438000.0,585,7860.0,0,1,0,0,4,1,0,0,0,1
276500,2.875,8211.83,180.0,468000.0,653,6060.0,0,0,0,0,2,0,0,0,0,0
626500,3.99,2596.45,360.0,418000.0,762,10080.0,0,0,0,0,6,0,0,0,0,1
1456500,3.99,2596.45,360.0,1878000.0,788,15660.0,0,0,0,0,3,1,0,0,0,1
166500,3.99,2596.45,360.0,418000.0,529,4740.0,0,0,0,0,1,1,0,0,0,1
576500,3.625,0.0,360.0,588000.0,623,5760.0,0,1,1,0,2,1,1,0,0,0
306500,3.99,2596.45,360.0,388000.0,518,9240.0,0,0,0,0,4,0,0,0,0,1
286500,3.99,102.86,360.0,478000.0,631,5160.0,0,0,0,0,3,0,0,0,0,0
146500,3.99,2596.45,360.0,418000.0,698,2880.0,0,0,0,0,6,1,0,0,0,1
166500,4.125,1250.0,360.0,858000.0,732,11880.0,0,0,0,0,3,0,0,0,0,0
516500,3.375,5558.91,360.0,578000.0,667,5760.0,0,0,0,0,1,1,0,0,0,0
326500,3.75,5999.72,360.0,338000.0,870,5820.0,0,0,0,0,2,0,1,0,0,0
576500,3.99,2596.45,360.0,418000.0,862,11580.0,0,0,0,0,1,1,0,0,0,1
266500,4.25,1907.75,360.0,388000.0,662,2700.0,0,0,0,0,1,1,0,0,0,0
426500,3.875,3395.5,360.0,808000.0,506,9180.0,0,0,0,0,3,1,0,0,0,0
66500,4.375,1820.83,360.0,68000.0,535,3240.0,0,0,0,0,2,1,1,0,0,0
186500,3.99,2596.45,360.0,238000.0,750,2640.0,0,0,0,0,4,1,0,0,0,1
726500,3.99,2596.45,360.0,418000.0,543,17280.0,0,0,0,0,2,0,0,0,0,1
196500,3.99,2596.45,240.0,228000.0,828,6660.0,0,0,0,1,4,0,0,0,0,1
256500,3.99,3796.51,324.0,308000.0,610,8580.0,0,0,0,0,3,0,0,0,0,0
86500,4.375,1732.02,360.0,108000.0,793,9300.0,0,0,0,0,1,0,1,0,0,0
606500,3.875,2382.11,360.0,678000.0,630,8040.0,0,0,0,0,1,0,0,0,0,0
276500,3.99,2596.45,324.0,338000.0,716,7500.0,0,0,0,1,2,0,0,0,0,1
796500,3.99,2596.45,360.0,418000.0,790,11400.0,0,0,0,0,3,0,0,2,0,1
136500,3.99,2596.45,360.0,128000.0,561,3720.0,0,0,0,0,3,0,1,0,0,1
186500,4.875,245.99,360.0,188000.0,659,6720.0,0,0,0,0,5,0,0,0,0,0
216500,4.25,2919.24,360.0,268000.0,587,4200.0,0,0,0,0,1,0,0,0,0,0
276500,3.75,2062.75,360.0,448000.0,817,4920.0,0,0,0,0,3,1,0,0,0,0
326500,4.0,0.0,360.0,558000.0,545,3780.0,0,0,0,0,4,0,0,0,0,0
706500,3.75,0.0,360.0,878000.0,890,8880.0,0,0,1,0,3,2,1,0,0,0
536500,3.75,10917.86,360.0,838000.0,755,13200.0,0,0,0,0,1,1,0,0,0,0
346500,4.875,0.0,360.0,368000.0,664,10560.0,0,0,0,0,1,1,0,0,0,0
486500,3.0,1870.09,180.0,1358000.0,770,19500.0,0,0,0,0,3,1,0,0,0,0
156500,4.25,3060.0,180.0,198000.0,891,3120.0,0,0,0,0,5,1,0,0,0,0
506500,3.99,2596.45,360.0,518000.0,632,7260.0,0,0,0,0,2,1,0,0,0,1
516500,3.625,77.15,360.0,778000.0,629,6060.0,0,0,0,0,4,0,0,0,0,0
196500,3.125,795.0,360.0,248000.0,659,4980.0,0,0,0,0,6,0,0,1,0,0
446500,3.5,9518.75,360.0,808000.0,664,11520.0,0,0,0,0,5,1,0,0,0,0
86500,3.875,3110.62,360.0,128000.0,718,2700.0,0,0,0,0,4,1,1,0,0,0
486500,4.99,0.0,360.0,658000.0,834,9900.0,0,0,0,0,3,1,0,0,0,0
236500,3.125,3844.48,180.0,328000.0,624,4860.0,0,0,0,0,5,0,0,0,0,0
216500,3.99,2596.45,300.0,418000.0,628,4800.0,0,0,0,0,4,0,0,0,0,1
256500,4.75,2740.0,360.0,318000.0,789,11100.0,0,1,0,0,2,1,0,0,0,0
356500,3.99,2596.45,360.0,538000.0,597,3780.0,0,0,0,0,3,1,0,0,0,1
216500,3.75,7197.83,360.0,348000.0,515,4500.0,0,0,0,0,2,2,0,0,0,0
426500,3.99,2596.45,360.0,528000.0,806,2280.0,0,0,0,0,2,0,0,0,0,1
96500,3.5,3725.0,360.0,138000.0,704,1320.0,0,0,0,0,1,1,0,0,0,0
486500,3.625,3822.76,360.0,618000.0,765,11040.0,0,0,1,0,3,1,0,0,0,0
166500,3.5,2387.86,360.0,188000.0,615,6420.0,0,0,0,0,2,1,1,0,0,0
136500,4.625,4725.0,360.0,318000.0,858,3240.0,0,0,0,0,3,1,0,0,0,0
296500,4.5,1990.0,360.0,448000.0,503,5820.0,0,0,0,0,4,0,0,0,0,0
266500,3.99,2596.45,240.0,418000.0,775,4620.0,0,0,0,0,5,0,0,0,0,1
246500,4.5,546.97,360.0,338000.0,590,5940.0,0,0,0,0,5,1,0,0,0,0
126500,4.875,3130.0,180.0,238000.0,577,6240.0,0,1,0,0,5,1,0,2,0,0
236500,3.99,2990.0,360.0,298000.0,550,8580.0,0,0,0,0,4,1,0,1,0,0
306500,4.125,977.0,360.0,578000.0,509,6480.0,0,0,0,0,3,1,0,0,0,0
206500,3.99,2596.45,360.0,368000.0,557,3720.0,0,0,0,0,1,0,0,0,0,1
176500,3.5,6412.5,360.0,198000.0,789,3600.0,0,0,0,0,1,1,0,0,0,0
236500,3.99,0.0,360.0,608000.0,559,5580.0,0,0,0,0,4,1,0,0,0,0
276500,3.99,3285.5,324.0,328000.0,594,4740.0,0,0,0,0,3,0,0,0,0,0
246500,4.5,2266.0,360.0,308000.0,812,4140.0,0,1,0,0,1,1,0,0,0,0
216500,3.625,6042.5,240.0,308000.0,580,5580.0,0,0,0,0,3,0,0,0,0,0
206500,4.5,750.0,360.0,288000.0,514,3960.0,0,0,0,0,3,1,0,0,0,0
116500,3.625,1650.0,360.0,228000.0,520,3720.0,0,0,0,0,4,2,0,0,0,0
396500,3.99,424.49,360.0,388000.0,829,5760.0,0,0,0,0,5,1,0,0,0,0
206500,4.375,4900.0,180.0,318000.0,552,6240.0,0,0,0,0,4,1,0,0,0,0
86500,3.875,2631.5,180.0,108000.0,817,2580.0,0,1,0,0,5,1,1,0,0,0
86500,4.875,2629.12,360.0,118000.0,643,4920.0,0,0,0,0,2,1,0,2,0,0
366500,3.99,2596.45,360.0,458000.0,872,10920.0,0,0,0,0,3,0,0,0,0,1
176500,3.99,2596.45,360.0,418000.0,715,3540.0,0,0,0,0,3,0,0,0,0,1
466500,3.99,2596.45,360.0,468000.0,833,5760.0,0,0,0,0,4,2,0,0,0,1
316500,3.99,2596.45,360.0,338000.0,742,4860.0,0,0,0,0,2,2,1,0,0,1
106500,4.5,3087.5,312.0,128000.0,610,4500.0,0,0,0,0,3,0,0,0,0,0
246500,4.375,2264.26,360.0,308000.0,510,6000.0,0,1,0,0,3,0,1,0,0,0
616500,3.625,2489.0,360.0,778000.0,855,7260.0,0,0,0,0,3,0,0,0,0,0
546500,3.875,0.0,360.0,808000.0,510,24660.0,0,0,0,0,3,1,0,0,0,0
246500,3.375,6847.38,360.0,278000.0,595,11580.0,0,0,0,0,4,0,0,0,0,0
196500,3.99,2596.45,180.0,288000.0,592,2820.0,0,0,0,0,3,1,0,0,0,1
256500,3.99,2596.45,360.0,418000.0,594,4200.0,0,0,0,0,4,2,0,0,0,1
326500,4.125,1608.51,360.0,478000.0,589,7980.0,0,0,0,0,5,0,0,0,0,0
716500,3.75,1605.05,360.0,1358000.0,861,12420.0,0,0,0,0,3,1,0,0,0,0
226500,3.875,5555.09,360.0,268000.0,777,4020.0,0,0,0,0,3,0,0,0,0,0
186500,3.99,2596.45,360.0,278000.0,603,2280.0,0,0,0,0,2,0,0,0,0,1
96500,3.99,2596.45,240.0,418000.0,893,3420.0,0,0,0,0,4,0,0,0,0,1
766500,3.99,2596.45,360.0,1578000.0,772,8040.0,0,0,0,0,3,1,0,0,0,1
726500,4.375,441.15,360.0,1508000.0,750,8340.0,0,0,0,0,2,1,0,0,0,0
506500,3.625,11402.0,360.0,928000.0,570,7800.0,0,0,0,0,3,0,0,0,0,0
376500,3.75,1930.25,360.0,538000.0,524,10800.0,0,0,0,0,2,0,0,0,0,0
1276500,3.99,2596.45,360.0,1598000.0,813,19200.0,0,0,0,0,2,0,0,0,0,1
1106500,3.99,2596.45,360.0,1308000.0,573,20520.0,0,0,0,0,3,1,0,0,0,1
286500,3.99,2660.0,240.0,428000.0,758,4320.0,0,0,0,0,3,0,0,0,0,0
436500,3.99,2596.45,360.0,418000.0,853,8280.0,0,0,0,0,4,1,0,0,0,1
176500,4.99,2187.5,360.0,358000.0,631,4800.0,0,0,0,0,4,1,0,0,0,0
186500,3.99,2596.45,360.0,668000.0,779,2640.0,0,0,0,0,4,2,0,0,0,1
216500,3.99,3262.0,360.0,268000.0,802,5700.0,0,1,0,0,4,1,0,1,0,0
356500,3.875,8994.0,360.0,448000.0,806,5940.0,0,0,0,0,1,0,0,0,0,0
516500,3.75,3560.0,360.0,578000.0,810,9240.0,0,0,0,0,1,1,0,0,0,0
376500,3.99,5976.25,360.0,398000.0,846,6540.0,0,0,0,0,1,1,0,0,0,0
336500,4.56,1198.25,360.0,488000.0,819,11340.0,0,0,0,0,2,0,0,2,0,0
416500,2.75,5069.21,360.0,528000.0,855,5760.0,0,0,0,0,2,0,0,0,0,0
306500,3.875,7250.0,360.0,508000.0,605,3240.0,0,0,0,0,5,0,0,0,0,0
196500,4.375,6238.04,360.0,238000.0,789,5760.0,0,1,0,0,5,0,0,0,0,0
396500,3.625,0.0,360.0,458000.0,893,6840.0,0,0,0,0,2,1,0,0,0,0
206500,4.25,5691.25,360.0,288000.0,874,2280.0,0,0,0,0,5,1,0,0,0,0
676500,3.625,0.0,360.0,678000.0,703,12660.0,0,0,1,0,2,0,0,0,0,0
876500,3.625,0.0,360.0,978000.0,509,9960.0,0,0,0,0,3,0,0,0,0,0
606500,4.18,3300.0,360.0,1078000.0,602,7200.0,0,1,0,0,1,0,0,0,0,0
176500,3.99,2596.45,180.0,418000.0,700,4860.0,0,0,0,0,5,0,0,0,0,1
256500,3.99,2596.45,180.0,418000.0,516,9900.0,0,1,0,0,3,1,0,0,0,1
126500,3.99,2596.45,324.0,418000.0,872,4800.0,0,1,0,0,6,0,0,0,0,1
336500,3.99,2596.45,360.0,758000.0,568,3300.0,0,0,0,0,2,0,1,0,0,1
86500,5.5,2267.88,360.0,138000.0,590,10320.0,0,0,0,0,2,1,0,2,0,0
416500,3.875,895.0,180.0,468000.0,660,23340.0,0,0,0,0,2,1,0,1,0,0
416500,3.99,2596.45,360.0,518000.0,708,5760.0,0,0,0,0,3,1,1,0,0,1
626500,3.99,16750.0,360.0,778000.0,784,8880.0,0,0,0,0,3,0,0,0,0,0
146500,3.99,1846.44,360.0,188000.0,615,2460.0,0,0,0,0,5,1,1,0,0,0
186500,4.125,0.0,360.0,208000.0,525,5760.0,0,0,0,0,3,1,1,0,0,0
176500,3.99,2596.45,360.0,418000.0,709,5580.0,0,0,0,0,4,2,1,0,0,1
456500,3.875,0.0,360.0,898000.0,562,8940.0,0,0,0,0,5,1,0,0,0,0
276500,4.875,0.0,360.0,598000.0,714,16800.0,0,0,0,0,4,0,0,0,0,0
396500,4.375,0.0,360.0,528000.0,585,5400.0,0,0,0,0,1,0,0,0,0,0
586500,3.69,9519.08,360.0,708000.0,718,9000.0,0,0,0,0,1,1,0,0,0,0
246500,4.625,0.0,360.0,518000.0,573,11880.0,0,0,0,0,3,0,0,2,0,0
476500,3.375,4700.0,360.0,1308000.0,531,7560.0,0,0,1,0,4,1,0,0,0,0
286500,4.5,6850.0,360.0,358000.0,562,3300.0,0,0,0,0,5,1,0,0,0,0
86500,3.99,2596.45,240.0,418000.0,544,2880.0,0,0,1,0,3,0,1,0,0,1
206500,4.625,4946.86,324.0,228000.0,624,3120.0,0,1,0,0,2,1,0,0,0,0
266500,3.99,3945.76,324.0,568000.0,824,4800.0,0,0,0,0,3,0,0,0,0,0
406500,4.5,2171.25,360.0,438000.0,588,6600.0,0,0,0,0,1,1,0,0,0,0
546500,4.625,13468.4,360.0,728000.0,577,6360.0,0,0,0,0,4,0,0,0,0,0
416500,3.25,6022.5,360.0,558000.0,890,6360.0,0,0,0,0,5,1,0,0,0,0
166500,3.99,4800.0,360.0,228000.0,749,3720.0,0,0,0,0,5,2,0,0,0,0
396500,3.75,23.35,360.0,628000.0,534,4620.0,0,0,0,0,5,1,0,0,0,0
256500,4.5,8200.0,360.0,438000.0,900,8640.0,0,0,0,0,3,1,0,2,0,0
626500,4.875,0.0,360.0,698000.0,746,13200.0,0,0,0,0,1,0,0,0,0,0
166500,4.25,2156.0,360.0,188000.0,570,3720.0,0,0,0,0,4,0,0,0,0,0
156500,3.625,1552.0,300.0,238000.0,790,2820.0,0,0,0,0,2,1,1,0,0,0
646500,4.5,1017.68,360.0,778000.0,837,13620.0,0,0,0,0,2,0,0,0,0,0
266500,3.75,1283.56,360.0,278000.0,802,2940.0,0,0,0,0,2,0,0,0,0,0
436500,4.0,0.0,360.0,528000.0,639,5340.0,0,0,0,0,1,1,0,0,0,0
396500,3.5,0.0,360.0,408000.0,746,6180.0,0,0,0,1,1,0,1,0,0,0
186500,3.5,3793.41,180.0,278000.0,521,3780.0,0,0,0,0,4,1,0,0,0,0
596500,3.875,841.12,360.0,668000.0,697,8880.0,0,0,0,0,2,0,0,0,0,0
276500,3.875,8839.75,360.0,408000.0,829,7080.0,0,0,0,0,6,1,0,0,0,0
336500,3.99,2596.45,180.0,418000.0,625,13140.0,0,0,1,0,4,1,0,1,0,1
136500,4.99,1063.91,360.0,258000.0,662,2820.0,0,0,0,0,4,1,0,0,0,0
296500,3.5,2860.7,360.0,508000.0,573,3420.0,0,0,0,0,1,0,0,0,0,0
116500,3.99,2596.45,360.0,158000.0,691,4320.0,0,0,0,0,5,1,0,0,0,1
366500,3.99,2596.45,360.0,418000.0,554,5700.0,0,0,0,0,6,0,0,0,0,1
216500,3.75,1250.0,360.0,368000.0,810,5220.0,0,0,0,0,4,0,0,0,0,0
156500,3.75,4175.0,180.0,368000.0,685,3060.0,0,0,0,0,5,1,0,0,0,0
166500,3.99,2596.45,360.0,198000.0,726,3480.0,0,0,1,0,5,1,0,0,0,1
296500,3.5,5689.25,360.0,908000.0,865,10500.0,0,0,0,0,2,0,0,0,0,0
186500,4.75,125.0,360.0,298000.0,775,3480.0,0,1,0,0,4,0,0,0,0,0
316500,3.99,2596.45,348.0,498000.0,615,4260.0,0,0,0,0,4,0,0,0,0,1
156500,4.25,3125.14,360.0,168000.0,533,5760.0,0,0,0,0,6,0,0,0,0,0
106500,3.5,1861.0,360.0,438000.0,590,2160.0,0,0,0,0,5,1,0,0,0,0
266500,2.875,1250.95,156.0,698000.0,659,6000.0,0,0,0,0,2,0,0,0,0,0
326500,3.99,4076.25,360.0,608000.0,889,7440.0,0,0,0,0,3,0,0,0,0,0
266500,5.875,1470.0,360.0,338000.0,610,3840.0,0,0,0,0,5,1,0,2,0,0
156500,3.99,2596.45,360.0,418000.0,742,2760.0,0,0,0,0,1,1,1,0,0,1
206500,4.625,0.0,360.0,208000.0,835,3120.0,0,0,0,0,3,1,0,0,0,0
66500,3.99,2596.45,360.0,78000.0,526,840.0,0,0,0,0,5,0,1,0,0,1
416500,2.99,4120.0,360.0,518000.0,711,7200.0,0,0,0,0,2,0,1,0,0,0
476500,3.125,0.0,180.0,2458000.0,618,7140.0,0,0,0,0,5,0,0,0,0,0
256500,3.625,5177.52,360.0,288000.0,617,10260.0,0,0,0,0,1,1,0,0,0,0
416500,3.75,6475.0,360.0,498000.0,803,13260.0,0,0,0,0,4,0,0,0,0,0
286500,3.99,2596.45,360.0,418000.0,898,9660.0,0,0,0,0,2,0,0,0,0,1
416500,4.25,9630.78,360.0,458000.0,686,8280.0,0,0,0,0,2,1,0,0,0,0
236500,3.875,5527.81,360.0,248000.0,661,7260.0,0,0,0,0,5,0,0,0,0,0
256500,3.75,699.04,360.0,358000.0,536,7620.0,0,0,0,0,2,0,0,0,0,0
326500,4.125,5570.4,360.0,538000.0,529,4380.0,0,1,0,0,4,1,0,0,0,0
386500,4.25,0.0,360.0,538000.0,531,6660.0,0,0,0,0,3,1,1,0,0,0
306500,3.99,4075.0,360.0,1008000.0,807,9420.0,0,0,1,0,4,0,0,1,0,0
106500,4.75,2665.81,360.0,118000.0,601,12240.0,0,0,0,0,3,0,0,1,0,0
266500,3.99,2596.45,360.0,418000.0,568,3720.0,0,0,0,0,6,1,0,0,0,1
486500,4.25,0.0,360.0,768000.0,618,5940.0,0,1,0,0,5,0,0,0,0,0
176500,4.75,1916.22,360.0,218000.0,514,5820.0,0,1,0,0,3,1,1,0,0,0
